"","entityIso","entityName.x","dataYear","Active mobile-broadband subscriptions per 100 people","Data and voice mobile-broadband subscriptions per 100 people","Fixed-broadband subscriptions per 100 people","At least 3G %","At least LTE/WiMAX %","Active mobile-broadband subscriptions count","At least 2G %","256 kbit/s to less than 2 Mbit/s count","256 kbit/s to less than 2 Mbit/s % fixed broadband subscriptions","256 kbit/s to less than 2 Mbit/s per 100 people","2 Mbit/s to less than 10 Mbit/s count","2 Mbit/s to less than 10 Mbit/s per 100 people","Fixed-broadband subscriptions count","Equal to or above 10 Mbit/s count","Equal to or above 10 Mbit/s per 100 people","Satellite broadband count","Terrestrial fixed wireless count","Fibre-to-the-home/building count","Other fixed broadband count","Households with Internet access at home %","DSL  count","Data and voice mobile-broadband subscriptions count","Data-only mobile-broadband subscriptions count","Active subscriptions to LTE/WiMAX mobile-broadband networks count","Cable modem count","10 Mbit/s to less than 30 Mbit/s count","30 Mbit/s to less than 100 Mbit/s count","Equal to or above 100 Mbit/s count","Equal to or above 10 Mbit/s % fixed broadband subscriptions","2 Mbit/s to less than 10 Mbit/s % fixed broadband subscriptions","At least 5G %","entityName.y","Female %","Male %","Individuals using the Internet %","entityName","Full-time equivalent telecommunication employees  per 1000 main lines","Annual foreign investment in telecommunications LCU","Full-time equivalent telecommunication employees  count","Full-time equivalent telecommunication employees  female","Revenue from all telecommunication services USD","Annual investment in telecommunication services USD","Revenue from all telecommunication services per employee","Annual investment in telecommunication services As % of revenues","Individuals with basic ICT skills in safety","Individuals with above basic ICT skills in safety","Individuals with basic ICT skills in information and data literacy","Individuals with above basic ICT skills in information and data literacy","Individuals with basic ICT skills in digital content creation","Individuals with above basic ICT skills in digital content creation","Individuals with basic skills in communication and collaboration","Individuals with above basic ICT skills in communication and collaboration","Individuals with basic ICT skills in problem solving","Individuals with above basic ICT skills in problem solving"
"285","PRK","Dem. People's Rep. of Korea",2019,16.3341,NA,NA,NA,NA,4253000,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"286","KOR","Korea (Rep. of)",2019,113.697,103.495,42.0374,99.9,99.9,58858600,99.9,0,0,0,0,0,21761800,21761800,42.0374,0,NA,18138900,NA,99.6893,594965,53577300,5281300,55688000,3172290,48046,1364070,18273700,100,0,NA,"Korea (Rep. of)",95.3135,96.9736,96.1576,"Korea (Rep. of)",5.42616,NA,134175,NA,50684800000,8234810000,377751,16.2471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"287","KWT","Kuwait",2019,125.716,78.4717,1.90435,100,100,5584540,100,11290,13.3459,0.254154,32253,0.72606,84595,40723,0.916732,0,2500,26638,4807,100,50438,3485870,2098670,4511990,204,32189,7423,1111,48.1388,38.1264,NA,"Kuwait",99.58,99.5215,99.5427,"Kuwait",4.67896,0,2730,400,3094960000,502698000,1133680,16.2425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"288","KGZ","Kyrgyzstan",2019,121.451,NA,4.14366,91,85,7887100,99.3,20556,7.63905,0.316537,174988,2.6946,269091,73547,1.13253,43,16207,57544,118246,83.4,277,NA,NA,NA,76780,NA,NA,NA,27.3316,65.0293,NA,"Kyrgyzstan",NA,NA,64.1,"Kyrgyzstan",36.4123,162326,10882,5282,310809000,59160100,28561.7,19.0343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"289","LAO","Lao P.D.R.",2019,48.1342,NA,1.05394,82,43,3483780,95,10050,13.1751,0.138857,66110,0.91342,76280,3323,0.0459128,NA,NA,NA,NA,24.9652,NA,NA,NA,NA,NA,NA,NA,NA,4.35632,86.6675,NA,"Lao P.D.R.",NA,NA,47.0323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"290","LBN","Lebanon",2019,50.6484,47.4212,7.24814,99.61,99,2934870,99.61,50000,11.9048,0.862873,320000,5.52239,420000,50000,0.862873,NA,NA,NA,NA,NA,NA,2747860,70894,2597940,NA,NA,NA,NA,11.9048,76.1905,NA,"Lebanon",NA,NA,81.4812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"291","LSO","Lesotho",2019,59.5038,NA,0.209016,98,67,1314680,98,NA,NA,NA,NA,NA,4618,NA,NA,13,843,2187,417,3.16989,1158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lesotho",44.9228,38.35,42.3017,"Lesotho",37.3774,NA,484,220,123301000,21993900,254754,17.8376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"292","LVA","Latvia",2019,132.313,96.5469,26.5859,99,95,2532820,99,3960,0.778112,0.206868,89697,4.68572,508924,415267,21.6933,0,8512,352971,20896,85.4496,109701,1848160,684656,NA,16844,59358,38181,317728,81.5971,17.6248,NA,"Latvia",85.0105,87.401,86.1355,"Latvia",19.6538,NA,4629,1968,583684000,82843400,126093,14.1932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"293","LBR","Liberia",2019,34.5776,NA,0.218093,63,30,1744000,76,NA,NA,NA,NA,NA,11000,NA,NA,NA,NA,NA,NA,3.71397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Liberia",NA,NA,18.3141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"294","LBY","Libya",2019,NA,NA,4.57486,78,40,NA,78,NA,NA,NA,NA,NA,318000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"295","LIE","Liechtenstein",2019,124.212,117.313,44.6748,99,98,47747,100,32,0.186339,0.0832466,1008,2.62227,17173,16133,41.9693,0,0,4083,0,91.5519,6751,45095,2652,47747,6339,7787,2529,5817,93.944,5.86968,NA,"Liechtenstein",NA,NA,93.1461,"Liechtenstein",12.0201,NA,165,NA,58724200,21848000,355904,37.2045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"296","LTU","Lithuania",2019,104.386,85.2001,28.2792,99.99,99.99,2917640,100,1464,0.185218,0.0523782,26250,0.939158,790419,762705,27.2876,0,43391,597656,4267,81.5189,124485,2381390,536244,2410900,20620,145716,232082,384907,96.4938,3.32102,NA,"Lithuania",82.3445,80.7427,81.5819,"Lithuania",14.6654,1263690000,5400,NA,628811000,82733700,116446,13.1572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"297","LUX","Luxembourg",2019,115.917,111.886,37.3611,99,98,718873,99,0,0,0,26300,4.24082,231700,231700,37.3611,0,NA,97100,1100,95.1972,109500,693873,25000,NA,22400,72500,33000,126200,100,11.4298,NA,"Luxembourg",96.8805,97.352,97.1206,"Luxembourg",9.7457,NA,2606,NA,594441000,89558000,228105,15.0659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"298","MAC","Macao, China",2019,416.331,NA,29.8074,99.9,99,2793470,99.9,NA,NA,NA,NA,NA,2e+05,NA,NA,NA,NA,NA,NA,92.3038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Macao, China",85.756,87.2861,86.4679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"299","MDG","Madagascar",2019,15.5794,NA,0.106309,65,25,4396450,80,NA,NA,NA,NA,NA,30000,NA,NA,NA,NA,NA,NA,13.3226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Madagascar",NA,NA,9.37944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300","MWI","Malawi",2019,31.2124,30.1748,0.059698,78,50,5938390,88,3081,27.1263,0.0161938,1565,0.00822569,11358,88,0.000462531,NA,10893,465,NA,9.9,NA,5740990,191500,437797,NA,NA,NA,NA,0.774784,56.075,0,"Malawi",NA,NA,11.0586,"Malawi",103.275,18472700000,1353,419,279234000,31730100,206382,11.3632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"301","MYS","Malaysia",2019,120.904,120.294,8.86497,95.5,82.2,40430900,96.7,135700,4.5775,0.405794,648000,1.93776,2964500,2180800,6.52141,4300,172300,2039400,4200,90.1045,744200,40226900,204000,31975600,NA,62900,601100,1516700,73.5638,21.8587,NA,"Malaysia",82.369,85.8538,84.1871,"Malaysia",4.88852,31570800000,36200,14900,7872250000,1289950000,217465,16.3861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"302","MDV","Maldives",2019,55.1212,41.8585,10.9013,100,100,268843,100,NA,NA,NA,NA,NA,53169,NA,NA,0,12,34103,1084,92.4411,5327,204157,64686,NA,12655,NA,NA,NA,NA,NA,NA,"Maldives",NA,NA,77.4697,"Maldives",69.2511,NA,1154,334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"303","MLI","Mali",2019,32.7246,31.3207,0.676473,60,34,6894550,100,120453,84.5154,0.571723,11902,0.0564922,142522,10167,0.0482571,263,113358,2879,0,21.6325,19446,6598780,295767,0,0,0,0,0,7.13364,8.35099,0,"Mali",NA,NA,24.9603,"Mali",5.02805,0,1218,307,878973000,131334000,721653,14.9417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"304","MLT","Malta",2019,76.8761,70.6812,40.18,100,100,387467,100,0,0,0,409,0.0811484,202513,202104,40.0988,0,11607,27684,0,86.0796,64384,356244,31223,11607,98838,9062,100859,92183,99.798,0.201962,0,"Malta",85.8153,85.7447,85.7786,"Malta",7.04933,NA,1802,576.5,272815000,NA,151396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"305","MRT","Mauritania",2019,56.2512,NA,0.24207,43.3,0,2513140,96.3,NA,NA,NA,NA,NA,10815,NA,NA,NA,NA,NA,NA,26.1827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mauritania",NA,NA,25.0978,"Mauritania",11.3971,NA,705,NA,259574000,31833600,368191,12.2638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"306","MUS","Mauritius",2019,86.2572,85.1376,23.883,99,99,1109500,99,56700,18.457,4.40809,600,0.0466465,307200,249900,19.4283,NA,NA,251900,NA,71.2016,NA,1095100,14400,NA,NA,238600,8400,2900,81.3477,0.195313,NA,"Mauritius",60.1306,63.3931,61.73,"Mauritius",NA,NA,NA,NA,282517000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"307","MEX","Mexico",2019,77.4754,76.576,15.3885,95.01,90.04,97435400,95.83,279970,1.44664,0.222617,1025000,0.815025,19353100,17863900,14.2044,19453,62710,4747230,221365,55.8011,6756980,96304200,1131190,NA,7545320,13267400,3833690,737192,92.3055,5.29632,0,"Mexico",68.0718,71.3822,69.6321,"Mexico",9.17079,3.2079e+10,207977,68092,26928600000,4507460000,129479,16.7386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"308","MCO","Monaco",2019,88.3046,86.0007,53.7301,100,100,33652,100,34,0.166048,0.0892178,56,0.146947,20476,20386,53.4939,0,0,NA,0,84.0101,2309,32774,2578,25392,13360,NA,NA,13360,99.5605,0.273491,NA,"Monaco",NA,NA,83.3397,"Monaco",4.89585,0,216,43,NA,13138700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"309","MNG","Mongolia",2019,111.517,103.699,9.83638,96,59,3604350,100,59192,18.6183,1.83137,254473,7.87327,317923,4258,0.13174,606,12326,287835,NA,46.7198,17156,3351670,252686,1956800,NA,NA,NA,NA,1.33932,80.1952,NA,"Mongolia",55.0473,46.861,51.08,"Mongolia",37.6137,NA,13216,6568,478362000,121404000,36195.6,25.379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"310","MDA","Moldova",2019,76.4991,68.8832,21.5427,99.9,98,2381080,99.99,14967,2.23211,0.480858,7707,0.24761,670530,647856,20.8142,NA,1690,451737,NA,60.7572,162975,2144030,237051,1546300,54128,174868,370035,102953,96.6185,1.14939,NA,"Moldova",NA,NA,57.7605,"Moldova",5.94113,NA,6366,2443,274245000,65121600,43079.7,23.7458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"311","MNE","Montenegro",2019,82.6487,74.5064,29.2285,98,97.65,505535,98.52,2711,1.51638,0.443215,35995,5.88474,178781,140075,22.9005,76,5415,63113,426,74.2512,61739,455731,49804,308121,48012,39688,72671,27716,78.35,20.1336,NA,"Montenegro",71.0809,75.3093,73.4767,"Montenegro",7.51428,73467900,1414,695,262113000,88065700,185370,33.5984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"312","MSR","Montserrat",2019,NA,NA,66.0793,95,NA,NA,NA,NA,NA,NA,NA,NA,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"313","MAR","Morocco",2019,65.387,64.7903,4.8365,98.97,98.75,23677200,99.7,5893,0.336485,0.0162741,1118360,3.08847,1751340,627087,1.73176,8943,113141,121237,32115,84.52,1475910,23461200,216039,15720400,NA,505375,3867,117845,35.8061,63.8574,NA,"Morocco",80.9506,87.3289,84.1204,"Morocco",4.65553,NA,9565,2568,3435460000,564658000,359170,16.4362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"314","MOZ","Mozambique",2019,17.9545,17.8044,0.234152,82,40,5365590,85,7310,10.4466,0.0244609,38374,0.128408,69975,24291,0.0812833,NA,9534,4134,988,6.82885,32016,5320720,44864,3201500,23303,NA,NA,NA,34.7138,54.8396,NA,"Mozambique",NA,NA,12.4793,"Mozambique",42.8142,NA,3459,712,7939640,3454910,2295.36,43.5147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"315","OMN","Oman",2019,109.114,86.7148,10.2442,99.3,96.3,5038780,99.3,3595,0.75993,0.0778488,347351,7.52179,473070,122124,2.64456,30,155220,115876,1902,94.4052,200072,4004420,1034360,NA,NA,NA,NA,1061,25.8152,73.4249,NA,"Oman",NA,NA,90.2594,"Oman",6.56202,NA,3886,955,2154180000,549323000,554344,25.5003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"316","NAM","Namibia",2019,62.3463,61.5297,2.60178,69,39,1652490,100,3272,4.74478,0.123449,55314,2.08693,68960,10374,0.391399,881,NA,829,6574,29.1346,60676,1630840,21643,NA,NA,0,0,0,15.0435,87.3646,NA,"Namibia",NA,NA,49.8,"Namibia",7.33025,NA,1026,386,211042000,36921900,205694,17.4951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317","NRU","Nauru",2019,34.5214,NA,NA,98,30,4000,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.4233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nauru",NA,NA,74.7379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"318","NPL","Nepal (Republic of)",2019,54.9728,NA,3.62848,54.1,30,15620000,92.47,NA,NA,NA,NA,NA,1031000,NA,NA,NA,NA,NA,NA,26.6777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nepal (Republic of)",NA,NA,33.3366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"319","NLD","Netherlands",2019,125.155,122.275,42.5293,99,99,21949000,100,4160,0.0557747,0.0237206,43350,0.247185,7458570,7411060,42.2583,NA,NA,1385980,NA,96.2025,2561610,21444000,505000,NA,3510980,571440,3432560,3407060,99.363,0.581211,NA,"Netherlands",92,94.5946,93.2886,"Netherlands",NA,NA,NA,NA,11149100000,2507370000,NA,22.4895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"320","CUW","Curacao",2019,56.6484,56.6484,28.1187,100,90,107373,100,0,0,0,16527,8.71939,53297,36770,19.3993,NA,1363,5607,NA,NA,25000,107373,NA,NA,21327,18105,18515,150,68.9907,31.0093,NA,NA,NA,NA,NA,"Curacao",8.82243,NA,472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"321","ABW","Aruba",2019,NA,NA,17.7444,95,64.1,NA,99,NA,NA,NA,NA,NA,19000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"322","NCL","New Caledonia",2019,NA,NA,19.3931,97.4,79.5,NA,NA,NA,NA,NA,NA,NA,55000,NA,NA,NA,NA,NA,NA,61.0838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"323","VUT","Vanuatu",2019,243.481,175.349,2.70151,70,50,710929,90,2186,27.713,0.748669,993,0.340086,7888,225,0.0770588,212,6072,1421,NA,NA,NA,511993,710929,NA,NA,NA,NA,NA,2.85243,12.5887,NA,"Vanuatu",NA,NA,37.5081,"Vanuatu",NA,NA,NA,NA,39161700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"324","NZL","New Zealand",2019,96.1638,NA,34.0228,98,97.33,4798000,98,NA,NA,NA,NA,NA,1697530,NA,NA,1625,190702,820761,NA,89.0912,620446,NA,NA,NA,59000,NA,NA,NA,NA,NA,NA,"New Zealand",NA,NA,89.8637,"New Zealand",11.3754,NA,11000,2876,3491870000,1123570000,317442,32.1768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"325","NIC","Nicaragua",2019,18.1411,NA,3.35641,72,42,1176210,72,NA,NA,NA,NA,NA,217618,NA,NA,NA,NA,NA,NA,25.6784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nicaragua",NA,NA,37.8319,"Nicaragua",NA,128907000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"326","NER","Niger",2019,12.2583,NA,0.047935,24,10,2813000,92,NA,NA,NA,NA,NA,11000,NA,NA,NA,NA,NA,NA,11.0419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Niger",NA,NA,16.6119,"Niger",NA,NA,1752,NA,NA,80871200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"327","NGA","Nigeria",2019,34.4433,34.2468,0.0397927,74.2,37.8,72153800,89.8,254,0.304702,0.000121249,72745,0.0347255,83360,10361,0.00494592,2657,64670,14583,1450,19.6505,NA,71742000,411796,21712200,NA,NA,NA,NA,12.4292,87.2661,NA,"Nigeria",NA,NA,29.7,"Nigeria",138.38,2.88516e+11,14828,4390,8043670000,1611910000,542465,20.0394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"328","NOR","Norway",2019,102.303,95.9103,42.2722,99.9,99.9,5470890,99.9,8000,0.353888,0.149596,104383,1.95191,2260610,2148220,40.1707,1920,54717,1222180,1542,98,382197,5129030,341865,NA,598047,478319,729363,940223,95.0286,4.61748,NA,"Norway",97,98,98,"Norway",NA,NA,NA,NA,3840910000,1614310000,NA,42.0294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"329","FSM","Micronesia",2019,NA,NA,4.53383,15,NA,NA,80,NA,NA,NA,NA,NA,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Micronesia",NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"330","MHL","Marshall Islands",2019,NA,NA,2.27237,NA,NA,NA,65,NA,NA,NA,NA,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Marshall Islands",NA,NA,49.7575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"331","PAK","Pakistan",2019,32.9019,32.9019,0.881514,76.6,68.73,75937900,88.8,174230,8.56359,0.0754893,1341900,0.581412,2034540,518410,0.224614,NA,260705,118329,290038,34.1344,1599500,75937900,42455500,42455500,26674,300153,63152,6848,25.4804,69.1281,NA,"Pakistan",12.9284,21.3422,17.0709,"Pakistan",14.1075,1.03641e+11,39194,2344,3712120000,785140000,94711.5,21.1507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"332","PAN","Panama",2019,79.548,NA,12.6486,95,59,3368620,96,3781,0.705896,0.0892861,44841,1.05889,535631,435674,10.2882,NA,NA,8755,3799,70.7182,52884,NA,NA,2507140,470213,141570,112917,181187,81.3385,8.37162,NA,"Panama",63.8115,63.4338,63.6284,"Panama",10.2795,NA,6673,3050,1056520000,275681000,158328,26.0933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"333","PNG","Papua New Guinea",2019,10.7711,NA,0.208138,64.35,50,1035000,89,NA,NA,NA,NA,NA,20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Papua New Guinea",NA,NA,19.9783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"334","PRY","Paraguay",2019,66.2118,65.9292,6.32667,98.11,96.6,4313730,98.97,8908,2.16116,0.136729,66088,1.01439,412186,337190,5.17555,8,11191,74879,NA,28.2693,47632,4295330,18406,3344840,279381,250885,47677,38628,81.8053,16.0335,NA,"Paraguay",69.0172,68.0063,68.5176,"Paraguay",NA,NA,NA,NA,937196000,64396700,NA,6.8712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"335","PER","Peru",2019,80.4128,79.3563,7.38779,86.09,79.01,26093400,90.89,71691,2.99051,0.220932,576624,1.777,2397290,1740270,5.36303,2938,208788,192419,211492,35.8659,293064,25750600,NA,18601200,1698260,1324180,342177,51830,72.5932,21.4999,0,"Peru",56.9921,62.9157,59.9505,"Peru",5.2329,NA,12907,NA,3899900000,1580800000,302154,40.5343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"336","PHL","Philippines",2019,65.5622,NA,5.69731,93,80,72646000,99,NA,NA,NA,NA,NA,6312880,NA,NA,NA,NA,NA,NA,17.6529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Philippines",NA,NA,43.0266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"337","POL","Poland",2019,184.136,162.889,20.5043,100,100,70387600,100,33814,0.431413,0.0884584,977769,2.55787,7837960,6018940,15.7457,2401,806878,1900770,467228,86.75,1814990,62265800,8121850,52454200,2845700,976431,1499120,3543390,76.7922,12.4748,0,"Poland",79.9697,80.9198,80.4359,"Poland",NA,NA,NA,NA,10322400000,2044650000,NA,19.8079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"338","PRT","Portugal",2019,78.265,73.3212,38.3606,99.7,99.7,8095110,99.88,7351,0.18527,0.0710708,19363,0.187205,3967720,3941000,38.1023,827,276100,2008210,4243,80.9385,482577,7583770,511345,7654250,1195760,582287,282857,3075860,99.3267,0.487839,NA,"Portugal",74.0594,76.757,75.3464,"Portugal",1.92485,NA,9794,NA,3993770000,672308000,407777,16.8339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"339","GNB","Guinea-Bissau",2019,35.8368,35.3165,0.0623572,30,NA,705160,97.09,1090,88.8346,0.0553947,131,0.00665753,1227,6,0.000304925,NA,1227,NA,NA,12.5527,NA,694922,10238,105397,NA,NA,NA,NA,0.488998,10.6764,NA,"Guinea-Bissau",NA,NA,17.9215,"Guinea-Bissau",NA,NA,220,60,106935,30461.6,486.07,28.4859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"340","TLS","Timor-Leste",2019,30.8122,NA,0.00684118,96.5,45,400850,96.5,NA,NA,NA,NA,NA,89,NA,NA,NA,NA,629,NA,18.1706,420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Timor-Leste",NA,NA,28.0046,"Timor-Leste",NA,NA,NA,NA,72919100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"341","PRI","Puerto Rico",2019,77.7475,NA,18.5504,100,NA,2556360,100,23260,3.81347,0.707415,421164,12.809,609943,NA,NA,171,NA,208,NA,69.4987,239205,NA,NA,NA,353760,451927,1783690,152746,NA,69.0497,NA,"Puerto Rico",78.1409,77.2887,77.7364,"Puerto Rico",11.6582,NA,8008,NA,2615950000,NA,326668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"342","QAT","Qatar",2019,126.345,116.832,10.1747,100,99.5,3535030,100,4136,1.45286,0.147824,2692,0.0962143,284679,277851,9.93062,NA,12440,261916,3743,93.5644,6580,3268870,266151,3535030,NA,34518,141789,101544,97.6015,0.945626,NA,"Qatar",99.3195,99.9997,99.6528,"Qatar",4.17526,NA,1926,455,2676100000,465385000,1389460,17.3904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"343","ROU","Romania",2019,87.0444,82.2397,27.0606,99.96,98.13,16975000,99.96,15065,0.285472,0.0772503,235593,1.20807,5277230,5026570,25.7752,617,321557,3381710,256936,83.6132,547952,16038000,937000,12016000,768454,589628,543335,3893610,95.2502,4.46433,NA,"Romania",72.0412,75.2957,73.6575,"Romania",13.9053,NA,47000,16000,2889390000,568439000,61476.3,19.6733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"344","RUS","Russian Federation",2019,96.95,96.5403,22.4233,87.7,87.7,142064000,98.9,2235760,6.80438,1.52577,4679090,3.1932,32857600,25942800,17.7044,68107,256857,25868000,2030580,76.9138,4241830,141464000,600350,27638700,383221,NA,NA,11027900,78.9551,14.2405,NA,"Russian Federation",81.9877,83.3878,82.6422,"Russian Federation",10.842,NA,300044,132297,26005900000,6424340000,86673.5,24.7035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"345","RWA","Rwanda",2019,41.81,NA,0.0695439,98.9,98.9,5341690,99.94,1970,22.1722,0.0154194,2720,0.0212897,8885,4195,0.0328347,20,2897,5853,NA,15.871,115,NA,NA,423981,NA,3413,740,42,47.2144,30.6134,NA,"Rwanda",NA,NA,21.358,"Rwanda",100.5,NA,1145,297,220664000,54227500,192720,24.5746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"346","KNA","Saint Kitts and Nevis",2019,104.1,NA,43.4039,100,NA,48877,100,NA,NA,NA,NA,NA,20379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Saint Kitts and Nevis",NA,NA,69.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"347","AIA","Anguilla",2019,NA,NA,33.7314,99,NA,NA,99,NA,NA,NA,NA,NA,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
