"","entity","above","basic","5G","fixed","home_internet","internet_use","mobile","employees","foreign_investments","investments","revenue","price_big","price_small","gov_policies"
"191","Guyana",NA,NA,NA,12.9356,57.65305,80.05725,32.0712,NA,NA,NA,NA,"27.96","18.99",1
"192","Haiti",NA,NA,NA,0.306791,NA,NA,29.04165,NA,NA,NA,NA,"3.69","4.64",1
"193","Iraq",NA,NA,0,16.4519666666667,87.3522,80.22235,47.1135666666667,NA,NA,NA,NA,"11.54","11.54",1
"194","Jersey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","Kosovo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.3","6.3",NA
"196","Lebanon",NA,NA,NA,7.29167,78.16205,83.14565,90.6555,NA,NA,NA,NA,"14.59","8.36",NA
"197","Liberia",NA,NA,NA,0.274673,45.5984,22.69725,41.0533,NA,NA,NA,NA,"10","5",1
"198","Libya",NA,NA,0,4.51841,85.09725,88.57005,120.7585,NA,NA,NA,NA,"3.97","3.01",0
"199","Mali",NA,NA,0,0.77422,46.2431,34.7359,58.17755,NA,NA,NA,NA,"14.43","8.02",3
"200","Marshall Islands",NA,NA,NA,2.35048,69.7805,65.26,NA,NA,NA,NA,NA,"25","25",1
"201","Mayotte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","Micronesia",NA,NA,NA,5.81819,NA,NA,NA,NA,NA,NA,NA,"40","31.5",0
"203","Montserrat",NA,NA,NA,71.6146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","Nauru",NA,NA,NA,9.95678,NA,NA,33.7305,NA,NA,NA,NA,"62.1","62.1",NA
"205","Nepal (Republic of)",NA,NA,NA,9.75293333333333,62.50945,54.8297,102.301833333333,NA,NA,NA,NA,"3.61","1.9",NA
"206","New Caledonia",NA,NA,NA,19.3729,NA,NA,NA,NA,NA,NA,NA,"31.5","11.34",NA
"207","Niue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27.48","22.66",NA
"208","Northern Marianas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35","18",NA
"209","Palau",NA,NA,NA,7.163545,NA,NA,NA,NA,NA,NA,NA,"26.5","26.5",NA
"210","Papua New Guinea",NA,NA,0,0.214639,40.5873,23.8991,21.8461,NA,NA,NA,NA,"28.5","28.5",2
"211","Saint Kitts and Nevis",NA,NA,0,46.7447,74.13505,75.9887,128.337,NA,NA,NA,NA,"37.04","37.04",NA
"212","Saint Lucia",NA,NA,0,13.5719,78.595,67.7189,64.3083,NA,NA,NA,NA,"48.47","48.47",0
"213","Samoa",NA,NA,NA,0.877539,89.6249,57.7337,63.5109,NA,NA,NA,NA,"18.35","18.35",2
"214","San Marino",NA,NA,NA,35.7876,91.64295,86.04425,137.133,NA,NA,NA,NA,"21.99","20.04",NA
"215","Sierra Leone",NA,NA,NA,NA,NA,19.93185,26.54915,NA,NA,NA,NA,"14.98","6.3",2
"216","Solomon Islands",NA,NA,NA,0.107033,50.47685,42.27685,16.75895,NA,NA,NA,NA,"29.45","20.85",1
"217","Somalia",NA,NA,10,0.6957155,NA,27.6,5.734575,NA,NA,NA,NA,"2","2",0
"218","St. Helena",NA,NA,NA,18.3605,NA,NA,NA,NA,NA,NA,NA,"29.78","20.4",NA
"219","St. Maarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27.93","24.36",NA
"220","Sudan",NA,NA,NA,0.0604394,NA,NA,48.53745,NA,NA,NA,NA,"7.09","3.75",6
"221","Tajikistan",NA,NA,NA,0.784566,43.03025,54.9494,38.75015,NA,NA,NA,NA,"7.23","2.72",NA
"222","Tonga",NA,NA,NA,8.17387,34.139,58.12575,64.9187,NA,NA,NA,NA,"12.35","12.35",1
"223","Turkmenistan",NA,NA,NA,5.21711,NA,NA,46.8304,NA,NA,NA,NA,"51.43","14.29",NA
"224","Turks & Caicos Is.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42","44.5",NA
"225","Tuvalu",NA,NA,NA,4.52362,55.11005,73.9496,NA,NA,NA,NA,NA,"28.86","23.83",NA
"226","Vatican",NA,NA,NA,NA,83.37925,86.04425,NA,NA,NA,NA,NA,NA,NA,NA
"227","Virgin Islands (US)",NA,NA,NA,10.0662,NA,NA,NA,NA,NA,NA,NA,"30","20",NA
"228","Wallis and Futuna",NA,NA,0,14.19425,NA,NA,100.8153,NA,NA,NA,NA,NA,NA,NA
"229","Yemen",NA,NA,0,1.27124,31.30895,NA,30.0361,NA,NA,NA,NA,"8.19","4.53",NA
"230","Tokelau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17.03","17.03",NA
